trial_number,score,avg_sharpe,avg_win_rate,avg_return,avg_profit_factor,avg_max_dd,successful_datasets,kama_length,fast_length,slow_length,atr_period,base_multiplier,adaptive_strength,knn_enabled,knn_k,knn_lookback,knn_feature_length,knn_weight,stop_loss_percent
53,,,,134.9550568688485,,-50.82297417301606,25,15,10,50,28,2.0,0.5,True,8,50,5,0.2,3.0
54,,,,72.96759113723506,,-50.04391278169772,25,20,10,40,35,2.5,2.0,False,9,100,5,0.1,4.0
55,,,,83.03556590977722,,-49.27652970746865,25,30,20,60,21,3.0,2.0,True,9,100,7,0.0,6.0
56,,,,83.4873786143339,,-52.680754376598635,25,15,10,40,35,3.0,1.5,False,7,150,5,0.1,5.0
57,,,,82.40665352247377,,-47.0743632179854,25,20,20,50,21,3.5,1.0,False,8,50,7,0.2,4.0
58,,,,69.7208851248335,,-48.79753462048652,25,15,20,50,28,3.5,2.0,False,6,150,3,0.2,6.0
59,,,,78.76057251280037,,-53.53267949904313,25,30,15,60,21,3.5,0.5,False,5,50,7,0.2,6.0
60,,,,85.0626823537159,,-50.30924216888307,25,25,15,40,28,2.0,2.0,True,7,150,3,0.2,5.0
61,,,,109.82115901134217,,-50.703288256789776,25,25,10,60,35,3.0,1.5,True,5,100,5,0.1,6.0
62,,,,45.97739105099703,,-40.78187388558546,25,30,20,50,21,3.5,2.0,False,10,100,5,0.1,3.0
63,,,,96.5328898354636,,-49.933173070035544,25,20,20,40,28,2.5,1.5,True,7,150,5,0.0,5.0
64,,,,51.98897396041924,,-46.87540555060362,25,15,10,50,28,3.5,1.0,False,5,100,3,0.3,3.0
65,,,,86.38997387933888,,-51.511452888179974,25,20,10,60,28,3.0,0.5,True,10,50,3,0.0,5.0
66,,,,90.78866090736406,,-48.42340994285676,25,25,10,60,28,3.0,1.0,False,5,50,7,0.3,4.0
67,,,,87.06512710952866,,-44.953683924572,25,20,15,50,21,2.0,1.5,True,6,50,7,0.0,3.0
68,,,,204.7666990213815,,-52.0053628326539,25,30,10,50,21,2.0,0.5,False,9,100,7,0.0,4.0
69,,,,159.59956110103263,,-50.7625349802779,25,30,10,40,21,2.0,0.5,True,10,150,5,0.1,4.0
70,,,,105.6255147077071,,-53.787906909456034,25,25,10,50,28,3.0,1.0,False,9,50,7,0.1,7.0
71,,,,103.71215662768468,,-48.1933560449763,25,30,15,40,21,3.0,1.5,True,10,150,5,0.0,4.0
72,,,,104.06668901637124,,-52.821822178425194,25,15,20,40,28,2.5,1.5,False,6,50,3,0.3,7.0
73,,,,90.55972726765958,,-51.46093016019772,25,25,15,50,21,3.5,1.0,False,5,50,7,0.0,6.0
74,,,,57.560001352070486,,-46.020906753538966,25,15,15,40,28,3.0,1.0,True,8,150,7,0.0,3.0
75,,,,89.07611075547175,,-49.90578607246978,25,20,15,40,28,3.0,1.0,True,5,150,5,0.2,5.0
76,,,,72.56005992954914,,-44.77789094487341,25,15,20,60,35,2.5,1.5,True,10,50,7,0.1,3.0
77,,,,36.4969468862387,,-41.55837569592807,25,25,20,60,35,3.0,1.5,True,7,50,7,0.3,3.0
78,,,,104.30503728289932,,-53.09690491924085,25,25,20,40,28,3.5,0.5,True,10,150,7,0.1,7.0
79,,,,63.79665293409593,,-49.890385181020136,25,30,10,60,21,3.0,0.5,True,9,100,7,0.0,4.0
80,,,,94.87256377930954,,-52.815848179387416,25,25,20,40,28,3.5,1.5,True,10,50,7,0.2,7.0
81,,,,67.981422345763,,-53.497929557449936,25,30,20,50,35,2.5,1.0,False,10,150,5,0.1,6.0
82,,,,190.2045720975974,,-51.745432939836036,25,15,10,50,21,2.5,0.5,True,10,100,5,0.2,4.0
83,,,,84.15386825489999,,-49.755980197535735,25,30,20,40,28,3.5,2.0,False,6,150,3,0.3,6.0
84,,,,118.39510746612669,,-58.55922483826467,25,25,15,40,21,2.0,0.5,True,5,150,7,0.3,7.0
85,,,,99.04023073158741,,-53.105097052626945,25,15,15,60,35,2.0,2.0,True,8,100,5,0.0,7.0
86,,,,91.65852703778961,,-50.848828286399424,25,20,10,60,35,3.5,2.0,True,5,100,5,0.1,6.0
87,,,,64.8003899078821,,-52.95492371934202,25,20,10,40,35,2.0,2.0,True,8,150,5,0.2,5.0
88,,,,50.96048417182028,,-41.19399811790004,25,20,20,60,28,3.5,2.0,False,9,150,5,0.3,3.0
89,,,,92.18992762532001,,-49.636892664717124,25,30,20,40,35,2.0,1.0,True,9,150,5,0.0,4.0
90,,,,85.97541713639811,,-51.88346399242791,25,25,20,50,21,3.0,1.5,True,9,100,7,0.1,6.0
91,,,,146.2441723468125,,-55.13201068653588,25,30,10,60,35,2.0,1.0,True,8,100,5,0.0,7.0
92,,,,83.56894193900145,,-49.18905787689494,25,30,20,60,21,3.5,0.5,False,7,150,7,0.1,4.0
93,,,,60.559014404915985,,-42.249920604497646,25,30,15,50,21,3.5,1.5,True,9,100,3,0.3,3.0
94,,,,68.50529832491702,,-53.400453472931076,25,20,20,50,28,2.5,1.0,True,10,50,3,0.0,6.0
95,,,,86.26560377307491,,-46.06971166554208,25,20,20,50,35,2.0,2.0,True,10,150,5,0.0,3.0
96,,,,110.38667836615274,,-50.34024624980386,25,30,15,60,28,2.0,0.5,True,6,100,3,0.2,4.0
97,,,,102.3439227285636,,-47.386739076815026,25,30,10,50,21,2.0,1.0,False,6,150,7,0.3,3.0
98,,,,187.19251857650642,,-48.363260150372014,25,20,10,40,35,2.0,1.0,False,8,50,3,0.2,3.0
99,,,,146.45453595609328,,-55.3537030727328,25,20,10,40,28,2.0,1.5,False,6,50,3,0.2,6.0
