Symbol,Timeframe,Return%,Sharpe,MaxDD%,WinRate%,PF,#Trades
BTCUSDT,1h,120.43,0.79,-28.66,30.0,2.46,30
BTCUSDT,4h,-10.31,-0.24,-32.74,16.67,0.42,6
ETHUSDT,1h,236.7,0.75,-32.57,33.33,3.1,24
ETHUSDT,4h,48.74,0.32,-34.66,50.0,3.95,6
SOLUSDT,1h,483.16,0.72,-39.64,36.0,5.16,25
SOLUSDT,4h,-43.14,-0.75,-55.58,0.0,0.0,9
BNBUSDT,1h,78.01,0.41,-35.77,34.62,2.17,26
BNBUSDT,4h,74.32,0.51,-37.34,20.0,4.77,5
ADAUSDT,4h,83.72,0.33,-58.35,25.0,3.29,8
DOGEUSDT,4h,39.12,0.2,-52.28,16.67,2.96,6
